#string_protein_id	preferred_name	protein_size	annotation
1280.SAXN108_0704	AID39145.1	94	annotation not available
1280.SAXN108_0705	AID39146.1	251	annotation not available
1280.SAXN108_0706	SAXN108_0706	270	annotation not available
1280.SAXN108_0707	tarB	349	Catalyzes the addition of a single glycerol phosphate residue to the prenoldiphosphate-linked disaccharide. 
1280.SAXN108_0708	tagX	353	Belongs to the glycosyltransferase 2 family
1280.SAXN108_0709	tarD	132	Catalyzes the transfer of the cytidylyl group of CTP to sn- glycerol 3-phosphate so the activated glycerol 3-phosphate can be used for teichoic acid synthesis, via incorporation into both the linkage unit by TarB and TarF
1280.SAXN108_0710	SAXN108_0710	431	Belongs to the peptidase S11 family. 
1280.SAXN108_0711	AID39152.1	575	annotation not available
1280.SAXN108_0712	AID39153.1	409	annotation not available
1280.SAXN108_0713	AID39154.1	277	annotation not available
1280.SAXN108_0714	SAXN108_0714	265	annotation not available
1280.SAXN108_0715	SAXN108_0715	334	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0716	SAXN108_0716	338	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0717	AID39158.1	322	annotation not available
1280.SAXN108_0718	AID39159.1	194	annotation not available
1280.SAXN108_0719	AID39160.1	120	annotation not available
1280.SAXN108_0720	AID39161.1	165	annotation not available
1280.SAXN108_0721	AID39162.1	355	annotation not available
1280.SAXN108_0722	AID39163.1	347	annotation not available
1280.SAXN108_0723	AID39164.1	142	annotation not available
1280.SAXN108_0724	AID39165.1	168	annotation not available
1280.SAXN108_0725	graX	307	Plays a role in resistance against cationic antimicrobial peptides (CAMPs) . Facilitates the activation of GraS to transduce the signal to GraR . 
1280.SAXN108_0726	graR	191	Member of the two-component regulatory system GraR/GraS involved in resistance against cationic antimicrobial peptides (CAMPs) . Upon phosphorylation by GraS, functions as a transcription regulator by direct binding to promoter regions of target genes such as adhesins, exoproteins, transporters, toxins, and proteins involved in cell wall synthesis. Down-regulates the expression of many genes involved in RNA and amino acid synthesis or glycolysis .  ECO:0000269|PubMed:18518949, ECO:0000269|PubMed:24102310,
1280.SAXN108_0727	graS	346	Member of the two-component regulatory system GraR/GraS involved in resistance against cationic antimicrobial peptides (CAMPs) . Functions as a sensor protein kinase which phosphorylates GraR through the auxiliary protein GraX . In turn, GraR up-regulates many genes such as adhesins, exoproteins, transporters, toxins, and proteins involved in cell wall synthesis . Down-regulates the expression of many genes involved in RNA and amino acid synthesis or glycolysis. Confers resistance to vancomycin, polymyxin B, lysozyme and LL-37 .  ECO:0000269|PubMed:18518949, ECO:0000269|PubMed:21765893,
1280.SAXN108_0728	AID39169.1	253	annotation not available
1280.SAXN108_0729	SAXN108_0729	629	annotation not available
1280.SAXN108_0730	AID39171.1	196	annotation not available
1280.SAXN108_0731	AID39172.1	335	annotation not available
1280.SAXN108_0732	AID39173.1	265	Has weak lytic activity toward S.aureus cells. 
1280.SAXN108_0733	AID39174.1	214	annotation not available
1280.SAXN108_0734	AID39175.1	716	annotation not available
1280.SAXN108_0735	sarX	141	Involved in the regulation of virulence genes. Acts as a repressor of the agr locus and consequently targets genes regulated by the agr system such as sspA, hla and hlb. Binds directly to the agr promoter region
1280.SAXN108_0736	AID39177.1	238	annotation not available
1280.SAXN108_0737	AID39178.1	157	annotation not available
1280.SAXN108_0738	AID39179.1	38	annotation not available
1280.SAXN108_0739	AID39180.1	214	annotation not available
1280.SAXN108_0740	AID39181.1	288	Belongs to the LysR transcriptional regulatory family. 
1280.SAXN108_0741	AID39182.1	54	annotation not available
1280.SAXN108_0742	AID39183.1	406	annotation not available
1280.SAXN108_0743	AID39184.1	162	annotation not available
1280.SAXN108_0744	AID39185.1	229	annotation not available
1280.SAXN108_0745	AID39186.1	105	annotation not available
1280.SAXN108_0746	AID39187.1	131	annotation not available
1280.SAXN108_0747	AID39188.1	99	annotation not available
1280.SAXN108_0748	AID39189.1	180	annotation not available
1280.SAXN108_0749	AID39190.1	188	Belongs to the LOG family
1280.SAXN108_0750	AID39191.1	152	Belongs to the UPF0178 family
1280.SAXN108_0751	AID39192.1	227	annotation not available
1280.SAXN108_0752	uppP	291	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin
1280.SAXN108_0753	AID39194.1	543	annotation not available
1280.SAXN108_0754	AID39195.1	557	annotation not available
1280.SAXN108_0755	mgrA	147	Regulatory protein involved in autolytic activity, multidrug resistance and virulence. Controls autolysis by inactivating LytM, LytN (autolysins) and SarV (autolysis activator) and activating ArlRS, LrgAB and LytSR (autolysis inhibitors). Acts as a dual regulator for resistance to multiple drugs by inactivating NorB and tet38 and activating NorA. Positively controls the expression of virulence accessory gene regulator (agr) to promote alpha-hemolysin (hla) transcription and down-regulates staphylococcal accessory regulator (sarS), leading to repression of surface protein A (spa). Binds [...] 
1280.SAXN108_0756	AID39197.1	308	annotation not available
1280.SAXN108_0757	AID39198.1	302	annotation not available
1280.SAXN108_0758	AID39199.1	95	annotation not available
1280.SAXN108_0759	AID39200.1	517	annotation not available
1280.SAXN108_0760	AID39201.1	457	Belongs to the DNA photolyase family. 
1280.SAXN108_0761	AID39202.1	205	annotation not available
1280.SAXN108_0762	AID39203.1	140	annotation not available
1280.SAXN108_0763	SAXN108_0763	388	annotation not available
1280.SAXN108_0764	AID39205.1	154	annotation not available
1280.SAXN108_0765	AID39206.1	160	Belongs to the prolyl-tRNA editing family. YbaK/EbsC subfamily
1280.SAXN108_0766	AID39207.1	253	annotation not available
1280.SAXN108_0767	SAXN108_0767	306	Belongs to the carbohydrate kinase PfkB family. LacC subfamily
1280.SAXN108_0768	SAXN108_0768	652	annotation not available
1280.SAXN108_0769	SAXN108_0769	393	annotation not available
1280.SAXN108_0770	AID39211.1	441	annotation not available
1280.SAXN108_0771	AID39212.1	279	annotation not available
1280.SAXN108_0772	AID39213.1	327	annotation not available
1280.SAXN108_0773	saeS	351	Member of the two-component regulatory system SaeR/SaeS involved in the regulation of staphylococcal virulence factors in a strain-dependent fashion. Probably functions as a membrane-associated protein kinase that upon sensing the appropriate signal, autophosphorylates and in turn activates the cytosolic response regulator SaeR. SaeR/SaeS activates the expression of exoproteins involved in adhesion and invasion of host cells, including hemolysins (hla, hlb), coa, Dnase, spa and cell wall-associated proteins (emp, eap, fnbA). Acts probably downstream of the agr system in the regulatory  [...] 
1280.SAXN108_0774	saeR	228	Member of the two-component regulatory system SaeR/SaeS involved in the regulation of staphylococcal virulence factors in a strain-dependent fashion. Probably functions as a transcriptional regulator via a specific DNA-binding domain, recognizing motifs near the promoter sequences of target genes. SaeR/SaeS activates the expression of exoproteins involved in adhesion and invasion of host cells, including hemolysins (Hla, Hlb), Coa, DNase, Spa and cell wall- associated proteins (Emp, Eap, FnbA). Acts probably downstream of the Agr system in the regulatory cascade of virulence factors.   [...] 
1280.SAXN108_0775	AID39216.1	157	annotation not available
1280.SAXN108_0776	AID39217.1	146	annotation not available
1280.SAXN108_0777	AID39218.1	194	annotation not available
1280.SAXN108_0778	queE	237	Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7-carboxy-7- deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds
1280.SAXN108_0779	AID39220.1	139	annotation not available
1280.SAXN108_0780	queC	222	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)). 
1280.SAXN108_0781	AID39222.1	197	annotation not available
1280.SAXN108_0782	AID39223.1	383	annotation not available
1280.SAXN108_0783	AID39224.1	187	annotation not available
1280.SAXN108_0784	AID39225.1	236	annotation not available
1280.SAXN108_0785	AID39226.1	334	annotation not available
1280.SAXN108_0786	ltaS	646	Catalyzes the polymerization of lipoteichoic acid (LTA) polyglycerol phosphate, a reaction that presumably uses phosphatidylglycerol (PG) as substrate. Is required for staphylococcal growth and cell division process
1280.SAXN108_0787	AID39228.1	625	annotation not available
1280.SAXN108_0788	SAXN108_0788	593	annotation not available
1280.SAXN108_0789	AID39230.1	152	annotation not available
1280.SAXN108_0790	AID39231.1	167	annotation not available
1280.SAXN108_0791	AID39232.1	504	annotation not available
1280.SAXN108_0792	hisC	352	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily
1280.SAXN108_0793	AID39234.1	180	annotation not available
1280.SAXN108_0794	AID39235.1	305	May catalyze the ATP-dependent phosphorylation of lipids other than diacylglycerol (DAG)
1280.SAXN108_0795	AID39236.1	501	annotation not available
1280.SAXN108_0796	queF	461	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1). 
1280.SAXN108_0797	nrdI	132	Probably involved in ribonucleotide reductase function. 
1280.SAXN108_0798	SAXN108_0798	701	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
1280.SAXN108_0799	SAXN108_0799	323	annotation not available
1280.SAXN108_0800	SAXN108_0800	323	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0801	AID39242.1	318	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1280.SAXN108_0802	AID39243.1	253	annotation not available
1280.SAXN108_0803	AID39244.1	342	annotation not available
1280.SAXN108_0804	AID39245.1	104	annotation not available
1280.SAXN108_0805	murB	315	Cell wall formation
1280.SAXN108_0806	AID39247.1	172	annotation not available
1280.SAXN108_0807	AID39248.1	292	annotation not available
1280.SAXN108_0808	AID39249.1	106	annotation not available
1280.SAXN108_0809	AID39250.1	374	annotation not available
1280.SAXN108_0810	pepT	408	Cleaves the N-terminal amino acid of tripeptides. 
1280.SAXN108_0811	AID39252.1	130	annotation not available
1280.SAXN108_0812	AID39253.1	253	annotation not available
1280.SAXN108_0813	AID39254.1	356	annotation not available
1280.SAXN108_0814	SAXN108_0814	351	annotation not available
1280.SAXN108_0815	AID39256.1	213	annotation not available
1280.SAXN108_0816	AID39257.1	288	annotation not available
1280.SAXN108_0817	AID39258.1	360	annotation not available
1280.SAXN108_0818	AID39259.1	138	annotation not available
1280.SAXN108_0819	hpf	163	Required for dimerization of active 70S ribosomes into 100S ribosomes; when added to monomeric 70S ribosomes stimulates formation of 100S dimeric ribosomes. Unlike E.coli, 100S ribosomes are present during exponential growth, peak during early stationary phase and then decrease (shown for strain NBRC 3060)
1280.SAXN108_0820	secA1	843	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane
1280.SAXN108_0821	prfB	330	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
1280.SAXN108_0822	AID39263.1	279	Has weak lytic activity toward S.aureus cells. 
1280.SAXN108_0823	AID39264.1	216	annotation not available
1280.SAXN108_0824	AID39265.1	78	annotation not available
1280.SAXN108_0825	SAXN108_0825	661	annotation not available
1280.SAXN108_0826	uvrA	918	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate
1280.SAXN108_0827	hprK	310	Catalyzes the ATP- as well as the pyrophosphate-dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK/P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P-Ser-HPr). The two antagonistic activities of HprK/P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructos [...] 
1280.SAXN108_0828	lgt	277	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins
1280.SAXN108_0829	AID39270.1	93	annotation not available
1280.SAXN108_0830	AID39271.1	479	annotation not available
1280.SAXN108_0831	SAXN108_0831	311	annotation not available
1280.SAXN108_0832	AID39273.1	44	annotation not available
1280.SAXN108_0833	AID39274.1	255	Displays ATPase and GTPase activities
1280.SAXN108_0834	AID39275.1	331	Required for morphogenesis under gluconeogenic growth conditions
1280.SAXN108_0835	whiA	314	Involved in cell division and chromosome segregation. 
1280.SAXN108_0836	clpP	195	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins. 
1280.SAXN108_0837	AID39278.1	300	Belongs to the NAD(P)-dependent epimerase/dehydratase family. SDR39U1 subfamily
1280.SAXN108_0838	AID39279.1	209	annotation not available
1280.SAXN108_0839	SAXN108_0839	337	annotation not available
1280.SAXN108_0840	SAXN108_0840	336	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
1280.SAXN108_0841	pgk	396	Belongs to the phosphoglycerate kinase family. 
1280.SAXN108_0842	tpiA	253	Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D- glyceraldehyde-3-phosphate (G3P)
1280.SAXN108_0843	gpmI	505	Catalyzes the interconversion of 2-phosphoglycerate and 3- phosphoglycerate
1280.SAXN108_0844	eno	434	Catalyzes the reversible conversion of 2-phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
1280.SAXN108_0845	AID39286.1	152	annotation not available
1280.SAXN108_0846	AID39287.1	77	Subunit of the protein translocation channel SecYEG (By similarity). While not essential, it considerably increases the export efficiency of extracellular proteins
1280.SAXN108_0847	AID39288.1	246	annotation not available
1280.SAXN108_0848	rnr	790	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs. 
1280.SAXN108_0849	smpB	154	Required for rescue of stalled ribosomes mediated by trans- translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene; the 2 termini fold to resemble tRNA(Ala) and it encodes a 'tag peptide', a short internal open reading frame. During trans-translation Ala-aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on  [...] 
1280.SAXN108_0850	AID39291.1	107	annotation not available
1280.SAXN108_0851	AID39292.1	48	annotation not available
1280.SAXN108_0852	AID39293.1	188	annotation not available
1280.SAXN108_0853	AID39294.1	56	annotation not available
1280.SAXN108_0854	AID39295.1	173	annotation not available
1280.SAXN108_0855	AID39296.1	176	annotation not available
1280.SAXN108_0856	clfA	921	Cell surface-associated protein implicated in virulence. Promotes bacterial attachment exclusively to the gamma-chain of human fibrinogen. Induces formation of bacterial clumps, which diminish the ability of group IIA phospholipase A2 to cause bacterial phospholipid hydrolysis and killing. Significantly decreases macrophage phagocytosis possibly thanks to the clumps, clumped bacteria being too large to be phagocytosed. Dominant factor responsible for human platelet aggregation, which may be an important mechanism for initiating infective endocarditis. Enhances spleen cell proliferative [...] 
1280.SAXN108_0857	AID39298.1	508	annotation not available
1280.SAXN108_0858	emp	340	Adhesin that binds to the host cell extracellular matrix proteins fibronectin, fibrinogen, collagen, and vitronectin. 
1280.SAXN108_0859	AID39300.1	156	annotation not available
1280.SAXN108_0860	AID39301.1	228	annotation not available
1280.SAXN108_0861	AID39302.1	66	annotation not available
1280.SAXN108_0862	AID39303.1	72	annotation not available
1280.SAXN108_0863	AID39304.1	94	annotation not available
1280.SAXN108_0864	AID39305.1	189	annotation not available
1280.SAXN108_0865	AID39306.1	62	annotation not available
1280.SAXN108_0866	AID39307.1	67	Belongs to the UPF0346 family. 
1280.SAXN108_0867	AID39308.1	78	annotation not available
1280.SAXN108_0868	AID39309.1	193	annotation not available
1280.SAXN108_0869	AID39310.1	205	annotation not available
1280.SAXN108_0870	AID39311.1	164	annotation not available
1280.SAXN108_0871	AID39312.1	140	Belongs to the OsmC/Ohr family
1280.SAXN108_0872	aroD	238	Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis- dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3-dehydroshikimate. 
1280.SAXN108_0873	AID39314.1	179	annotation not available
1280.SAXN108_0874	AID39315.1	106	annotation not available
1280.SAXN108_0875	AID39316.1	118	Belongs to the ArsC family. 
1280.SAXN108_0876	gcvH	126	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein
1280.SAXN108_0877	AID39318.1	37	annotation not available
1280.SAXN108_0878	AID39319.1	292	annotation not available
1280.SAXN108_0879	AID39320.1	128	annotation not available
1280.SAXN108_0880	AID39321.1	98	annotation not available
1280.SAXN108_0881	metN2	341	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system
1280.SAXN108_0882	AID39323.1	231	annotation not available
1280.SAXN108_0883	AID39324.1	211	Belongs to the nlpA lipoprotein family. 
1280.SAXN108_0884	AID39325.1	406	annotation not available
1280.SAXN108_0885	AID39326.1	214	annotation not available
1280.SAXN108_0886	AID39327.1	256	annotation not available
1280.SAXN108_0887	AID39328.1	244	annotation not available
1280.SAXN108_0888	AID39329.1	70	annotation not available
1280.SAXN108_0889	AID39330.1	90	annotation not available
1280.SAXN108_0890	AID39331.1	48	annotation not available
1280.SAXN108_0891	AID39332.1	69	annotation not available
1280.SAXN108_0892	AID39333.1	97	annotation not available
1280.SAXN108_0893	AID39334.1	289	annotation not available
1280.SAXN108_0894	AID39335.1	485	annotation not available
1280.SAXN108_0895	AID39336.1	120	annotation not available
1280.SAXN108_0896	AID39337.1	94	annotation not available
1280.SAXN108_0897	AID39338.1	213	annotation not available
1280.SAXN108_0898	AID39339.1	113	annotation not available
1280.SAXN108_0899	AID39340.1	117	annotation not available
1280.SAXN108_0900	AID39341.1	72	annotation not available
1280.SAXN108_0901	AID39342.1	115	annotation not available
1280.SAXN108_0902	AID39343.1	113	annotation not available
1280.SAXN108_0903	AID39344.1	163	annotation not available
1280.SAXN108_0904	AID39345.1	158	annotation not available
1280.SAXN108_0905	AID39346.1	132	annotation not available
1280.SAXN108_0906	AID39347.1	61	annotation not available
1280.SAXN108_0907	AID39348.1	64	Belongs to the UPF0337 (CsbD) family
1280.SAXN108_0908	AID39349.1	283	annotation not available
1280.SAXN108_0909	AID39350.1	253	annotation not available
1280.SAXN108_0910	AID39351.1	435	annotation not available
1280.SAXN108_0911	AID39352.1	413	Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family
1280.SAXN108_0912	AID39353.1	154	annotation not available
1280.SAXN108_0913	AID39354.1	465	Belongs to the UPF0051 (ycf24) family
1280.SAXN108_0914	AID39355.1	104	annotation not available
1280.SAXN108_0915	AID39356.1	346	annotation not available
1280.SAXN108_0916	AID39357.1	355	Nitronate monooxygenase that uses molecular oxygen to catalyze the oxidative denitrification of alkyl nitronates. Acts on propionate 3-nitronate (P3N), the presumed physiological substrate. Probably functions in the detoxification of P3N, a metabolic poison produced by plants and fungi as a defense mechanism. 
1280.SAXN108_0917	AID39358.1	282	annotation not available
1280.SAXN108_0918	AID39359.1	275	annotation not available
1280.SAXN108_0919	AID39360.1	439	Belongs to the 5'-nucleotidase family. 
1280.SAXN108_0920	lipA	305	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
1280.SAXN108_0921	AID39362.1	127	annotation not available
1280.SAXN108_0922	AID39363.1	88	annotation not available
1280.SAXN108_0923	AID39364.1	144	annotation not available
1280.SAXN108_0924	nagD	259	Catalyzes the dephosphorylation of 2-6 carbon acid sugars in vitro
1280.SAXN108_0925	AID39366.1	319	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
1280.SAXN108_0926	AID39367.1	50	annotation not available
1280.SAXN108_0927	dltA	485	Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D- alanyl carrier protein (Dcp) DltC. In an ATP-dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall. 
1280.SAXN108_0928	SAXN108_0928	404	Could be involved in the transport of activated D-alanine through the membrane
1280.SAXN108_0929	dltC	78	Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC- carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall
1280.SAXN108_0930	dltD	391	Involved in the D-alanylation of lipoteichoic acid (LTA). Could be responsible for the transfer of DltC-carried D-alanyl groups to cell membrane phosphatidylglycerol (PG), or alternatively of D- alanine residues from D-Ala-undecaprenol phosphate to the poly(glycerophosphate) chains of LTA. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram- positive bacteria, influencing the net charge of the cell wall. 
1280.SAXN108_0931	AID39372.1	80	annotation not available
1280.SAXN108_0932	AID39373.1	107	annotation not available
1280.SAXN108_0933	AID39374.1	354	annotation not available
1280.SAXN108_0934	AID39375.1	67	Belongs to the UPF0349 family
1280.SAXN108_0935	AID39376.1	84	Belongs to the HesB/IscA family. 
1280.SAXN108_0936	AID39377.1	382	annotation not available
1280.SAXN108_0937	AID39378.1	491	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N- terminal amino acids from various peptides. 
1280.SAXN108_0938	AID39379.1	438	annotation not available
1280.SAXN108_0939	AID39380.1	124	annotation not available
1280.SAXN108_0940	AID39381.1	384	annotation not available
1280.SAXN108_0941	mnhG1	101	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0942	mnhF1	97	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0943	mnhE1	159	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0944	mnhD1	498	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0945	mnhC1	63	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0946	mnhB1	142	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0947	mnhA1	801	Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion
1280.SAXN108_0948	AID39389.1	127	annotation not available
1280.SAXN108_0949	AID39390.1	197	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)
1280.SAXN108_0950	AID39391.1	125	annotation not available
1280.SAXN108_0951	AID39392.1	375	annotation not available
1280.SAXN108_0952	AID39393.1	396	Catalyzes the interconversion of ornithine to glutamate semialdehyde
1280.SAXN108_0953	SAXN108_0953	414	Belongs to the Glu/Leu/Phe/Val dehydrogenases family. 
1280.SAXN108_0954	SAXN108_0954	309	annotation not available
1280.SAXN108_0955	argH	459	annotation not available
1280.SAXN108_0956	argG	401	Belongs to the argininosuccinate synthase family. Type 1 subfamily
1280.SAXN108_0957	pgi	443	annotation not available
1280.SAXN108_0958	AID39399.1	191	annotation not available
1280.SAXN108_0959	SAXN108_0959	174	Belongs to the peptidase S26 family. 
1280.SAXN108_0960	SAXN108_0960	191	Belongs to the peptidase S26 family. 
1280.SAXN108_0961	addB	1133	The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. The AddB nuclease domain is not required for chi fragment generation; this subunit has 5' -> 3' nuclease activity
1280.SAXN108_0962	addA	1217	The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. The AddA nuclease domain is required for chi fragment generation; this subunit has the helicase and 3' -> 5' nuclease activities
1280.SAXN108_0963	AID39404.1	300	Belongs to the FAH family
1280.SAXN108_0964	AID39405.1	129	annotation not available
1280.SAXN108_0965	cdr	438	Catalyzes specifically the NADPH-dependent reduction of coenzyme A disulfide. Is also active with other disulfide substrates containing at least one 4'-phosphopantethienyl moiety such as 4,4'- diphosphopantethine, but is not able to reduce oxidized glutathione, cystine, pantethine, or H(2)O(2)
1280.SAXN108_0966	AID39407.1	274	annotation not available
1280.SAXN108_0967	AID39408.1	102	annotation not available
1280.SAXN108_0968	AID39409.1	604	annotation not available
1280.SAXN108_0969	clpB	869	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE
1280.SAXN108_0970	AID39411.1	289	Belongs to the LysR transcriptional regulatory family. 
1280.SAXN108_0971	AID39412.1	381	Belongs to the alpha-IPM synthase/homocitrate synthase family
1280.SAXN108_0972	AID39413.1	213	Belongs to the SUA5 family. 
1280.SAXN108_0973	AID39414.1	331	annotation not available
1280.SAXN108_0974	AID39415.1	171	annotation not available
1280.SAXN108_0975	AID39416.1	144	annotation not available
1280.SAXN108_0976	AID39417.1	61	annotation not available
1280.SAXN108_0977	fabH	313	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched-chain and/or straight-chain of fatty acids
1280.SAXN108_0978	SAXN108_0978	414	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. 
1280.SAXN108_0979	AID39420.1	123	annotation not available
1280.SAXN108_0980	AID39421.1	308	annotation not available
1280.SAXN108_0981	AID39422.1	356	annotation not available
1280.SAXN108_0982	SAXN108_0982	360	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0983	AID39424.1	313	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0984	AID39425.1	551	annotation not available
1280.SAXN108_0985	AID39426.1	571	annotation not available
1280.SAXN108_0986	AID39427.1	132	annotation not available
1280.SAXN108_0987	AID39428.1	163	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0988	AID39429.1	136	annotation not available
1280.SAXN108_0989	SAXN108_0989	165	Belongs to the ABC transporter superfamily. 
1280.SAXN108_0990	AID39431.1	320	annotation not available
1280.SAXN108_0991	AID39432.1	247	annotation not available
1280.SAXN108_0992	trpS	329	Catalyzes the attachment of tryptophan to tRNA(Trp). 
1280.SAXN108_0993	spxA	105	Interferes with activator-stimulated transcription by interaction with the RNA polymerase alpha-CTD. May function to globally reduce transcription of genes involved in growth- and development- promoting processes and to increase transcription of genes involved in thiol homeostasis, during periods of extreme stress. 
1280.SAXN108_0994	mecA	239	Enables the recognition and targeting of unfolded and aggregated proteins to the ClpC protease or to other proteins involved in proteolysis
1280.SAXN108_0995	AID39436.1	85	annotation not available
1280.SAXN108_0996	AID39437.1	204	annotation not available
1280.SAXN108_0997	AID39438.1	602	annotation not available
1280.SAXN108_0998	AID39439.1	268	annotation not available
1280.SAXN108_0999	AID39440.1	121	annotation not available
1280.SAXN108_1000	AID39441.1	197	annotation not available
1280.SAXN108_1001	AID39442.1	115	Belongs to the UPF0738 family
1280.SAXN108_1002	AID39443.1	211	annotation not available
